[1|K0a1]
[-L^10 + 3*L^8*M^2 - 3*L^6*M^4 + L^4*M^6 - 5*L^8 + 10*L^6*M^2 - 5*L^4*M^4 - 9*L^6 + 10*L^4*M^2 - L^2*M^4 - 8*L^4 + 4*L^2*M^2 - 4*L^2|K3a1,K3a1,mK4a1]
[L^10 - 4*L^8*M^2 + 3*L^6*M^4 + 3*L^8 - 4*L^6*M^2 - 3*L^4*M^4 + 3*L^6 + 2*L^4*M^2 + L^2*M^4 + 2*L^2*M^2 - 2*L^2 - M^2|K11a148]
[L^10 - L^8*M^2 + 2*L^6*M^2 - L^6 - 2*L^4*M^2 + L^4 + L^2*M^2|K9a5]
[L^10 - L^8*M^2 - L^8 + 3*L^6*M^2 - 3*L^6 - 2*L^4*M^2 + L^2*M^2|K9a35]
[L^10 - L^8*M^2 + L^8 + L^4*M^4 + L^6 - 4*L^4*M^2 + 2*L^4|mK10n22]
[L^10 - L^8*M^2 + L^8 + L^6*M^2 - L^4*M^2 + L^2*M^2 - L^2|K9a2]
[L^-10*M^10 - 10*L^-10*M^8 + 36*L^-10*M^6 - L^-12*M^8 - 56*L^-10*M^4 + 8*L^-12*M^6 + 35*L^-10*M^2 - 21*L^-12*M^4 - 6*L^-10 + 20*L^-12*M^2 - 5*L^-12|mK11a367]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 5*L^8*M^2 + 2*L^6*M^4 + L^4*M^6 + 2*L^8 - 2*L^4*M^4 - L^4*M^2 - L^2*M^4 + L^4 + 2*L^2*M^2|mK11a207]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 5*L^8*M^2 + 2*L^6*M^4 + L^4*M^6 + 2*L^8 + L^6*M^2 - 3*L^4*M^4 - L^6 + 2*L^4*M^2 - L^2*M^4 - L^4 + 3*L^2*M^2 - L^2|mK11a144]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 5*L^8*M^2 + 2*L^6*M^4 + L^4*M^6 + 3*L^8 - L^6*M^2 - 2*L^4*M^4 + 2*L^6 - L^4*M^2 - L^2*M^4 + 2*L^4 + 2*L^2*M^2|mK11a143]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 5*L^8*M^2 + 2*L^6*M^4 + L^4*M^6 + 3*L^8 - L^6*M^2 - 2*L^4*M^4 + L^6 - L^2*M^4 + 2*L^2*M^2 - L^2|mK11a63]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 5*L^8*M^2 + 3*L^6*M^4 + 3*L^8 - 3*L^6*M^2 + 2*L^4*M^4 + 2*L^6 - 5*L^4*M^2 + 2*L^4|mK11n109]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 6*L^8*M^2 + 3*L^6*M^4 + L^4*M^6 + 3*L^8 - 2*L^6*M^2 - 3*L^4*M^4 + L^6 + L^4*M^2 - L^2*M^4 + 3*L^2*M^2 - L^2|K11a310]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 6*L^8*M^2 + 3*L^6*M^4 + L^4*M^6 + 4*L^8 - 3*L^6*M^2 - 3*L^4*M^4 + 2*L^6 + 2*L^4*M^2 - L^2*M^4 - L^4 + 3*L^2*M^2 - 2*L^2|K11a260]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 6*L^8*M^2 + 3*L^6*M^4 + L^4*M^6 + 4*L^8 - 3*L^6*M^2 - 3*L^4*M^4 + 3*L^6 + L^4*M^2 - L^2*M^4 + L^4 + 3*L^2*M^2 - L^2|K4a1,K7a3]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 6*L^8*M^2 + 3*L^6*M^4 + L^4*M^6 + 4*L^8 - 3*L^6*M^2 - 3*L^4*M^4 + 3*L^6 + L^4*M^2 - L^2*M^4 + L^4 + 3*L^2*M^2 - L^2|mK4a1,K7a3]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 6*L^8*M^2 + 4*L^6*M^4 + 4*L^8 - 6*L^6*M^2 + 2*L^4*M^4 + 4*L^6 - 6*L^4*M^2 + 3*L^4|mK11n14]
[-L^10*M^2 + 2*L^8*M^4 - L^6*M^6 + 2*L^10 - 7*L^8*M^2 + 4*L^6*M^4 + L^4*M^6 + 5*L^8 - 5*L^6*M^2 - 4*L^4*M^4 + 3*L^6 + 4*L^4*M^2 - L^2*M^4 - 2*L^4 + 4*L^2*M^2 - 3*L^2|K5a1,K6a1]
[L^10*M^2 - 2*L^8*M^4 + L^6*M^6 - 2*L^10 + 8*L^8*M^2 - 6*L^6*M^4 - 7*L^8 + 11*L^6*M^2 - 6*L^6|K3a1,K5a1]
